time,LT
1.954,319
1.955,323
1.956,323
1.957,321
1.958,323
1.959,326
1.96,327
1.961,327
1.962,329
1.963,330
1.964,327
1.965,324
1.966,324
1.967,320
1.968,318
1.969,318
1.97,323
1.971,327
1.972,327
1.973,327
1.974,323
1.975,319
1.976,318
1.977,317
1.978,317
1.979,318
1.98,321
1.981,327
1.982,328
1.983,326
1.984,320
1.985,317
1.986,315
1.987,318
1.988,320
1.989,323
1.99,325
1.991,322
1.992,320
1.993,318
1.994,316
1.995,315
1.996,315
1.997,317
1.998,319
1.999,319
2,322
2.001,323
2.002,320
2.003,321
2.004,319
2.005,321
2.006,318
2.007,319
2.008,323
2.009,325
2.01,327
2.011,325
2.012,326
2.013,327
2.014,330
2.015,334
2.016,331
2.017,329
2.018,327
2.019,326
2.02,328
2.021,327
2.022,327
2.023,324
2.024,322
2.025,319
2.026,312
2.027,310
2.028,310
2.029,311
2.03,313
2.031,317
2.032,321
2.033,322
2.034,326
2.035,323
2.036,321
2.037,322
2.038,321
2.039,317
2.04,314
2.041,314
2.042,318
2.043,322
2.044,320
2.045,316
2.046,315
2.047,317
2.048,316
2.049,316
2.05,315
2.051,314
2.052,316
2.053,319
2.054,326
2.055,331
2.056,334
2.057,332
2.058,328
2.059,326
2.06,322
2.061,324
2.062,326
2.063,325
2.064,322
2.065,322
2.066,318
2.067,318
2.068,315
2.069,314
2.07,314
2.071,318
2.072,322
2.073,324
2.074,327
2.075,332
2.076,331
2.077,328
2.078,324
2.079,320
2.08,317
2.081,317
2.082,316
2.083,316
2.084,317
2.085,317
2.086,320
2.087,324
2.088,327
2.089,324
2.09,318
2.091,316
2.092,316
2.093,315
2.094,317
2.095,323
2.096,326
2.097,327
2.098,326
2.099,326
2.1,324
2.101,322
2.102,317
2.103,316
2.104,316
2.105,319
2.106,320
2.107,322
2.108,317
2.109,314
2.11,316
2.111,315
2.112,319
2.113,321
2.114,321
2.115,322
2.116,322
2.117,321
2.118,319
2.119,319
2.12,319
2.121,318
2.122,317
2.123,318
2.124,319
2.125,320
2.126,321
2.127,324
2.128,328
2.129,329
2.13,327
2.131,327
2.132,327
2.133,325
2.134,322
2.135,320
2.136,322
2.137,323
2.138,321
2.139,321
2.14,320
2.141,322
2.142,321
2.143,321
2.144,318
2.145,319
2.146,322
2.147,322
2.148,319
2.149,318
2.15,316
2.151,318
2.152,319
2.153,318
2.154,318
2.155,321
2.156,322
2.157,324
2.158,324
2.159,328
2.16,328
2.161,330
2.162,329
2.163,328
2.164,327
2.165,324
2.166,325
2.167,322
2.168,320
2.169,320
2.17,321
2.171,322
2.172,321
2.173,318
2.174,316
2.175,316
2.176,315
2.177,312
2.178,313
2.179,315
2.18,317
2.181,316
2.182,318
2.183,320
2.184,322
2.185,323
2.186,322
2.187,322
2.188,322
2.189,323
2.19,323
2.191,322
2.192,324
2.193,320
2.194,319
2.195,319
2.196,320
2.197,320
2.198,324
2.199,325
2.2,326
2.201,325
2.202,324
2.203,322
2.204,322
2.205,322
2.206,324
2.207,327
2.208,325
2.209,326
2.21,326
2.211,323
2.212,322
2.213,319
2.214,317
2.215,317
2.216,318
2.217,321
2.218,322
2.219,322
2.22,322
2.221,326
2.222,328
2.223,324
2.224,320
2.225,318
2.226,319
2.227,320
2.228,320
2.229,323
2.23,327
2.231,328
2.232,326
2.233,324
2.234,321
2.235,317
2.236,315
2.237,314
2.238,312
2.239,317
2.24,323
2.241,333
2.242,336
2.243,331
2.244,325
2.245,320
2.246,315
2.247,314
2.248,313
2.249,312
2.25,311
2.251,313
2.252,318
2.253,319
2.254,318
2.255,315
2.256,317
2.257,319
2.258,318
2.259,317
2.26,317
2.261,319
2.262,320
2.263,321
2.264,323
2.265,324
2.266,324
2.267,324
2.268,325
2.269,324
2.27,323
2.271,320
2.272,320
2.273,321
2.274,319
2.275,320
2.276,319
2.277,319
2.278,319
2.279,320
2.28,322
2.281,324
2.282,324
2.283,323
2.284,324
2.285,324
2.286,324
2.287,323
2.288,322
2.289,320
2.29,320
2.291,319
2.292,319
2.293,320
2.294,318
2.295,320
2.296,320
2.297,320
2.298,321
2.299,320
2.3,320
2.301,321
